,Buisness_name,link,Address,phone number,Website,type,other_links
0,Ashish,https://www.google.com/maps/place/Ashish/data=!4m7!3m6!1s0x3be7b0dd8464c9a3:0x1bca79d91d4f392e!8m2!3d19.2240619!4d72.8666715!16s%2Fg%2F1hjgkmpdf!19sChIJo8lkhN2w5zsRLjlPHdl5yhs?authuser=0&hl=en&rclk=1,"6VF8+JMF, Khodiyar Nagar, Sadguru Nagar, Tata Power Residential Colony, Borivali East, Mumbai, Maharashtra 400068",095100 63996,,Restaurants,"https://business.google.com/create?fp=2002546957726202158&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
1,1803 AMERICAN BISTRO,https://www.google.com/maps/place/1803+AMERICAN+BISTRO/data=!4m7!3m6!1s0x3be7b1b247f5e6e9:0x870c30a823c31968!8m2!3d19.2249072!4d72.8655368!16s%2Fg%2F11sq5mz3_2!19sChIJ6eb1R7Kx5zsRaBnDI6gwDIc?authuser=0&hl=en&rclk=1,"6VF8+X67, Main Road, next to Pumping Iron gym, opp. Evershine Men's wear, Devipada, Borivali East, Mumbai, Maharashtra 400066",,,Restaurants,"https://business.google.com/create?fp=9731206393553426792&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
2,Golden Family Restaurant,https://www.google.com/maps/place/Golden+Family+Restaurant/data=!4m7!3m6!1s0x3be7b13affffffff:0x6c3956e51c8b5c48!8m2!3d19.2301001!4d72.8623711!16s%2Fg%2F1tf34dxz!19sChIJ_____zqx5zsRSFyLHOVWOWw?authuser=0&hl=en&rclk=1,"Neelakash, Carter Rd Number 5, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",,,Restaurants,"https://www.swiggy.com/restaurants/golden-family-restaurant-main-kastirba-road-airoli-mumbai-682549?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,"
3,Spring Fields,https://www.google.com/maps/place/Spring+Fields/data=!4m7!3m6!1s0x3be7b732afe88cb1:0xe649fd05aaa1d14a!8m2!3d19.2210737!4d72.8643272!16s%2Fg%2F1thl3wzm!19sChIJsYzorzK35zsRStGhqgX9SeY?authuser=0&hl=en&rclk=1,"Shop No.1 to 5, Country Park, E, Dattapada Rd, opp. TATA SSL, nr. Western Express Highway, Food Corporation of India Warehouse, Borivali, Mumbai, Maharashtra 400066",022 2854 7744,,Restaurants,"https://www.swiggy.com/restaurants/spring-fields-dattapada-road-malad-kan-east-mumbai-25165?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,"
4,Central Prabhu Restaurant & Bar,https://www.google.com/maps/place/Central+Prabhu+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3be7b0cccd155555:0x8fbd6ab6775f9c8a!8m2!3d19.2210213!4d72.862701!16s%2Fg%2F1tkqyqwf!19sChIJVVUVzcyw5zsRipxfd7ZqvY8?authuser=0&hl=en&rclk=1,"CTS 160-D, SKY CITY, Dattapada Rd, opp. OBEROI, Ekta Bhoomi Gardens III, Food Corporation of India Warehouse, Borivali East, Mumbai, Maharashtra 400066",084339 42430,notreadyyet.co.in,Restaurants,"http://notreadyyet.co.in/,"
5,Gaonthan - The Family Restaurant,https://www.google.com/maps/place/Gaonthan+-+The+Family+Restaurant/data=!4m7!3m6!1s0x3be7b703ddc2c003:0xfd3700f69fd1f74f!8m2!3d19.2067453!4d72.8658453!16s%2Fg%2F11t1bcj34h!19sChIJA8DC3QO35zsRT_fRn_YAN_0?authuser=0&hl=en&rclk=1,"Bungalow No.7, Vaishnav Villa Near Mahindra Flyover, Western Express Hwy, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101",091369 90777,,Restaurants,"https://www.swiggy.com/restaurants/gaonthan-the-family-restaurant-kandivali-malad-kan-east-mumbai-482555?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,"
6,All Seasons Kitchen & Bar,https://www.google.com/maps/place/All+Seasons+Kitchen+%26+Bar/data=!4m7!3m6!1s0x3be7b733b83f8d05:0x3ee307d4d39177e8!8m2!3d19.2178117!4d72.8670202!16s%2Fg%2F1tflqgt7!19sChIJBY0_uDO35zsR6HeR09QH4z4?authuser=0&hl=en&rclk=1,"Sai Darshan Compound, Western Express Hwy, Borivali East, Mumbai, Maharashtra 400066",022 2884 4747,,Restaurants,"https://www.swiggy.com/restaurants/all-seasons-kitchen-and-bar-sai-darshan-compound-malad-kan-east-mumbai-682621?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,"
7,Cafe Delight Family Restaurant,https://www.google.com/maps/place/Cafe+Delight+Family+Restaurant/data=!4m7!3m6!1s0x3be7b1194fc4e2d7:0xc34cd29aeed518ee!8m2!3d19.2316687!4d72.8600965!16s%2Fg%2F11lkdcjh21!19sChIJ1-LETxmx5zsR7hjV7prSTMM?authuser=0&hl=en&rclk=1,"6VJ6+M29, Mahatma Gandhi Rd, opposite S.T. Depot, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",093219 92556,,Restaurants,"https://www.dineout.co.in/mumbai/cafe-delight-family-restaurant-borivali-east-north-western-113234,https://www.swiggy.com/restaurants/cafe-delight-borivali-east-dahisar-east-mumbai-349829?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,https://business.google.com/create?fp=14072854498499696878&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
8,Amar Juice & Restaurant,https://www.google.com/maps/place/Amar+Juice+%26+Restaurant/data=!4m7!3m6!1s0x3be7b1bbac7210c1:0x504ccfe0499c299d!8m2!3d19.2259624!4d72.8551835!16s%2Fg%2F11s0s4l30f!19sChIJwRByrLux5zsRnSmcSeDPTFA?authuser=0&hl=en&rclk=1,"Shop No. 5 & 6, Court Chamber, Swami Vivekanand Road, 1, West, opp. Moksh Plaza, Borivali, Mumbai, Maharashtra 400092",086551 00200,,Restaurants,"https://www.dineout.co.in/mumbai/amar-juice-restaurant-borivali-west-north-western-79438,https://www.swiggy.com/restaurants/amar-juice-center-borivali-west-mumbai-25557?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,"
9,Platess Multicuisine Restaurant | Borivali | Fusion Restaurant,https://www.google.com/maps/place/Platess+Multicuisine+Restaurant+%7C+Borivali+%7C+Fusion+Restaurant/data=!4m7!3m6!1s0x3be7b1234e5f97c5:0x950e7f7bd5a7d7fd!8m2!3d19.2315675!4d72.8597067!16s%2Fg%2F11g0hss4t_!19sChIJxZdfTiOx5zsR_den1Xt_DpU?authuser=0&hl=en&rclk=1,"Sukarwadi, Borivali, Mumbai, Maharashtra 400066",098197 46008,,Restaurants,"https://www.swiggy.com/restaurants/platess-multicuisine-restaurant-sukurwadi-airoli-mumbai-742711?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,https://www.zomato.com/mumbai/platess-multicuisine-restaurant-borivali-east/menu,"
